year,city,lisbon_avg_temp,global_avg_temp
1939,Lisbon,15.43,8.76
1940,Lisbon,15.73,8.76
1941,Lisbon,15.40,8.77
1942,Lisbon,15.56,8.73
1943,Lisbon,16.00,8.76
1944,Lisbon,15.71,8.85
1945,Lisbon,16.51,8.58
1946,Lisbon,15.36,8.68
1947,Lisbon,16.05,8.80
1948,Lisbon,16.68,8.75
1949,Lisbon,16.64,8.59
1950,Lisbon,15.85,8.37
1951,Lisbon,15.31,8.63
1952,Lisbon,15.61,8.64
1953,Lisbon,16.19,8.87
1954,Lisbon,15.46,8.56
1955,Lisbon,16.58,8.63
1956,Lisbon,14.66,8.28
1957,Lisbon,15.53,8.73
1958,Lisbon,15.73,8.77
1959,Lisbon,15.89,8.73
1960,Lisbon,15.65,8.58
1961,Lisbon,16.59,8.80
1962,Lisbon,15.80,8.75
1963,Lisbon,15.48,8.86
1964,Lisbon,16.00,8.41
1965,Lisbon,15.54,8.53
1966,Lisbon,15.85,8.60
1967,Lisbon,15.53,8.70
1968,Lisbon,15.80,8.52
1969,Lisbon,15.26,8.60
1970,Lisbon,15.62,8.70
1971,Lisbon,15.18,8.60
1972,Lisbon,14.65,8.50
1973,Lisbon,15.50,8.95
1974,Lisbon,15.25,8.47
1975,Lisbon,15.32,8.74
1976,Lisbon,15.45,8.35
1977,Lisbon,15.40,8.85
1978,Lisbon,15.68,8.69
1979,Lisbon,15.53,8.73
1980,Lisbon,15.66,8.98
1981,Lisbon,16.37,9.17
1982,Lisbon,15.85,8.64
1983,Lisbon,15.91,9.03
1984,Lisbon,15.43,8.69
1985,Lisbon,15.98,8.66
1986,Lisbon,15.53,8.83
1987,Lisbon,16.46,8.99
1988,Lisbon,15.89,9.20
1989,Lisbon,16.87,8.92
1990,Lisbon,16.55,9.23
1991,Lisbon,16.09,9.18
1992,Lisbon,15.95,8.84
1993,Lisbon,15.33,8.87
1994,Lisbon,16.12,9.04
1995,Lisbon,17.23,9.35
1996,Lisbon,16.12,9.04
1997,Lisbon,17.10,9.20
1998,Lisbon,16.40,9.52
1999,Lisbon,16.09,9.29
2000,Lisbon,16.23,9.20
2001,Lisbon,16.20,9.41
2002,Lisbon,16.19,9.57
2003,Lisbon,16.60,9.53
2004,Lisbon,16.31,9.32
2005,Lisbon,16.43,9.70
2006,Lisbon,16.84,9.53
2007,Lisbon,16.11,9.73
2008,Lisbon,16.12,9.43
2009,Lisbon,16.84,9.51
2010,Lisbon,16.50,9.70
2011,Lisbon,16.91,9.52
2012,Lisbon,16.24,9.51
2013,Lisbon,16.77,9.61
